,"Динамика оборота розничной торговли на душу населения на 2015 г., в %","Динамика оборота розничной торговли на душу населения на 2016 г., в %","Динамика оборота розничной торговли на душу населения на 2017 г., в %","Динамика оборота розничной торговли на душу населения на 2018 г., в %","Динамика оборота розничной торговли на душу населения на 2019 г., в %","Динамика оборота розничной торговли на душу населения на 2020 г., в %","Динамика оборота розничной торговли на душу населения на 2021 г., в %"
Кемеровская область,2.780108,-0.935979,5.123323,6.766311,7.613406,1.364482,15.023557
Новосибирская область,-4.308908,0.671349,4.698276,5.653708,6.551883,2.933448,22.525225
Омская область,-2.493239,-4.703082,9.026974,5.130657,8.766055,0.863291,14.055628
Томская область,8.464868,5.086104,4.704205,7.121268,8.079002,2.133134,20.898749
Республика Бурятия,17.184938,2.988324,1.650787,3.707672,6.692515,3.99698,11.646232
Забайкальский край,8.382428,5.042097,3.367153,4.925314,5.838957,0.90467,14.496695
Республика Саха - Якутия,13.379872,7.661881,4.222745,7.327594,7.518407,-1.571378,13.30626
Камчатский край,10.702741,3.598812,3.807174,5.974577,8.792172,2.483692,18.464359
Приморский край,19.826249,3.856173,6.386741,8.915995,10.618995,-2.204846,18.124995
Хабаровский край,13.727312,7.395177,5.914484,5.822164,7.248836,5.954918,8.331594
Амурская область,11.423792,4.949285,5.490202,6.261198,7.650637,6.109565,12.804965
Магаданская область,7.482226,7.869411,5.439393,5.972148,6.11987,2.354661,17.636697
Сахалинская область,8.900593,1.449031,4.73712,4.675505,8.079192,3.414519,7.54722
Еврейская автономная область,14.0455,0.309537,3.191664,8.037907,10.552777,1.638888,12.153559
Чукотский автономный округ,16.090277,29.064399,19.32359,5.22905,8.505049,3.45503,3.953217
Архангельская область,10.160413,4.441586,7.07223,5.79298,4.45064,4.113177,12.005215
Тюменская область,4.041684,0.497945,4.515525,6.905551,3.453237,1.923208,11.365509
