,Динамика новорождённых в 2016 году,Динамика новорождённых в 2017 году,Динамика новорождённых в 2018 году,Динамика новорождённых в 2019 году,Динамика новорождённых в 2020 году,Динамика новорождённых в 2021 году
Томская область,-2.681625,-11.190777,-6.60915,-11.085685,-5.252121,-4.98994
Республика Бурятия,-5.023261,-11.241319,-2.885086,-9.912243,0.766528,-4.413629
Забайкальский край,-5.711393,-9.63239,-5.011533,-7.579102,-0.605096,-4.013137
Республика Саха - Якутия,-6.288353,-9.530602,-5.159811,-3.135862,1.076527,-5.001158
Камчатский край,-1.710843,-8.972787,-6.948559,-4.428365,-1.87765,-4.938272
Приморский край,-4.263881,-10.852121,-4.648283,-8.935618,-0.943396,-3.610188
Хабаровский край,-6.165028,-10.799666,-5.703755,-4.074467,-5.11085,-3.391804
Амурская область,-3.747333,-9.125952,-5.73701,-10.912364,-0.833439,-6.494333
Магаданская область,-7.644039,-1.729463,-11.376493,-7.234043,0.458716,-9.056317
Сахалинская область,4.512635,-9.268854,-4.36231,-5.573064,-1.791674,-2.664997
Еврейская автономная область,-5.789698,-13.285133,-2.084419,-10.43108,-4.634581,-3.364486
Чукотский автономный округ,-1.756955,-1.937407,-5.6231,-15.297907,2.091255,-2.979516
Архангельская область,-4.278113,-12.010816,-8.903876,-9.455534,-7.824467,-4.704693
Тюменская область,-3.900343,-8.315061,-2.827667,-6.283177,-3.434604,-1.199808
